"platform","neighbourhood_id","room_type_id","kitchen","tv","wifi","gym","elevator","fridge","heating","hair_dryer","air_conditioning","hot_tub","oven","bbq","coffee","pool","balcony","furniture","microwave","beds","accommodates","bathrooms","bedrooms","price"
"airbnb",15,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,"2",4,"1","0","60.79"
"booking",10,4,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"108.8125000000000000"
"airbnb",22,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"1",2,"1","1","73.68"
"airbnb",2,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,"0",6,"2","3","165.78"
"airbnb",10,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,"2",2,"1","1","42.37"
"airbnb",2,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,"3",5,"1.5","1","138.15"
"airbnb",3,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,"2",4,"1","1","73.68"
"airbnb",5,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,"1",1,"1","1","73.68"
"airbnb",20,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1",2,NULL,NULL,"55.26"
"booking",14,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,NULL,NULL,NULL,NULL,"708.2500000000000000"
"airbnb",9,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,"2",4,"2.5","2","159.33"
"airbnb",19,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,"4",6,"2.5","3","276.30"
"airbnb",6,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NULL,2,NULL,"1",NULL
"airbnb",20,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,"1",4,"1","1","125.26"
"airbnb",10,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,"3",7,"1.5","3","193.41"
"airbnb",23,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,"0",3,"1","1","61.71"
"airbnb",20,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1",2,"1","1","60.79"
"airbnb",10,2,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,NULL,2,NULL,NULL,NULL
"airbnb",15,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,"3",6,"1","2","58.94"
"airbnb",5,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"4",6,"1","2","64.47"
"airbnb",5,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"0",4,"1.5","1","68.15"
"airbnb",2,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,NULL,7,NULL,"2",NULL
"airbnb",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",7,NULL,NULL,"359.19"
